text,f3352321,f3352310,f3352311,f3352316,f3352318,f3352314,f3352315,f3352301,f3352308,f3352307
Όποιος δεν τον ξέρ΄ ακριβά τον αγοράζει,1,1.0,2,2,6,1,6,1,1,1
Τα 'θελες και τα 'παθες,1,5.0,17,9,5,2,5,3,1,2
"Αδειανός μασκαράς, παραχέρ 'τ' χουριού",3,1.0,16,1,6,3,10,3,1,3
"Ξεπεσομένος άρχοντας, ζωντανοκολασμένος, λιοντάρι ψόφιο, χαρτί μουρδουλωμένο",3,1.0,1,1,6,3,2,4,4,4
"Κάλλιο γαιδουρόδερνε, παρά γαιδουρογύρευε",2,2.0,1,3,6,2,8,1,2,5
Εφτό σύρνεται,1,1.0,9,50,6,3,7,3,6,6
"Φύϊτι να μη σας κοιτιλήση του βώδι – Αμ' που 'νιν, πρέ του βώδιν; - Ε θουράτι του σκοινίν του πάου να του φέρου;",1,2.0,1,11,6,4,10,5,2,6
Άφσ' τσου πλούσους να σωδιάζουν για τη φτώχεια απανωτιάζουν,2,2.0,2,5,1,9,6,1,4,7
Η παλαβάδα 'νι 'κατό λουγιώ στού κόσμου,1,1.0,13,9,6,4,10,3,3,8
Στού Μπαλίκ Παζάρ ένας παπάς κρέμιτι,4,4.0,5,6,6,4,10,6,7,9
"Τρεις στα Γέννα, τρεις τα Φώτα τσ' έξη στην Ανάστασι",4,4.0,3,6,6,4,5,7,7,50
Σαν κρυφτόξυλο δαγκάνει,5,5.0,17,17,6,8,10,3,1,6
"Σ' ούλα τα καλά, ο Θεός είναι μέσα",4,4.0,3,6,4,6,5,6,4,10
"Ηβάρεσιν, η μοίρα του",6,5.0,11,7,6,3,2,8,5,11
Τρέχ' η μύτ' σ' γαμβρε! Τρέχ' απού του χ'μώνα. Σι ξέρου κι απου του καλουκαίρ',1,5.0,4,10,6,4,4,7,5,12
"Οποίος προσκυνάει και κλάνει, κ' η πορδαίς του φύγανε, και τση μετάνοιαις του έχασε",1,1.0,3,6,6,6,10,6,4,13
Το μήλο θα πέση κάτ' α' τη μηλιά,6,1.0,4,13,"2, 3 ",2,2,7,1,14
Εκαμένμ μ' ασσίμ μουδούριν,1,1.0,8,50,6,4,1,1,1,50
Καλού καιρού ξύλο,1,1.0,4,50,6,3,1,1,1,15
Νάχα πουτάνας ριζικό και ά καμάτρας μοίρα,3,3.0,11,7,6,3,3,8,2,11
Άλλος κούκος λαλεί,1,5.0,1,11,6,4,7,1,1,16
Έργατα και δουλείας,1,1.0,5,8,6,3,8,2,6,17
Η δουλειά δέ χρίζει μούτρα,2,1.0,5,8,3,2,8,2,2,17
"Τσ' η πούλλα τσα πίνει νερό, τοθ Θεό ξαννοίει",4,4.0,3,6,6,6,7,6,7,10
"Αλλοίς τον οπού καρτερά στα ξένα να δειπνήση και δε(ν) στένει την τσούκαν του, να φάη και να χαρίση",1,2.0,17,9,6,9,7,5,2,18
Παντρεύει Δεσπότη!,1,5.0,6,6,6,5,4,7,1,19
Ασκημέ μου στρώσε το έλα κι ομορφέ μου τι θα φάμε,3,3.0,10,12,6,7,7,5,8,20
Κάνει τα μπορεί και τα δύνεται,1,1.0,17,15,6,8,7,1,4,17
"Που δεν εντρέπεται, πορεύγεται",2,1.0,7,17,4,2,10,1,3,28
"Ούτε διάκο σε είδαμε, ούτε Πρωτοσύγγελο! Και συ δεσπότης έγεινες!",3,5.0,16,6,6,6,3,6,3,21
Τουν έκανα απ 'άσπρου,1,5.0,17,15,5,3,7,1,5,15
Λάου λάου πάει,1,5.0,9,15,5,8,7,3,1,22
Τα δανεικά φορέματα μήτε ζεσταίνουν μήτε ζεσταίνονται,2,2.0,8,17,6,2,10,1,2,13
Βουβός περνά,3,1.0,10,15,6,8,2,1,1,6
"Όπου τσυν' γα δυό λαγούς, χάνει τσαί τον ένα νάνει τσαί τον άλλε",2,2.0,1,16,6,4,10,4,2,16
Ποντές ξεζεύγουν οι γεωργοί οι κερατάδες,3,5.0,5,50,6,8,7,1,4,24
Τώρα που γιν η θάλασσα μέλι έσπασε το κουτάλι,1,1.0,4,7,6,8,2,3,8,13
Τα θέλ' όλα δικά του,1,1.0,7,16,2,8,10,3,1,26
Όποιος συχνα σκουντάβγει συχνα και μεταννοιώνει,2,1.0,7,9,"3, 4",2,10,3,4,2
Πέσε πίτα να σί φάου,1,3.0,9,16,6,4,2,5,6,18
Της κακομούσουρης το προικιόν η ώμορφη τόχει ριζικό,6,1.0,10,12,6,7,2,8,3,11
Παρασκεβγοπλυμένη μου και σαββατοστεγνώστρα,3,4.0,14,50,6,8,2,3,4,27
Χα θα θέλη η νύφφη κ' η γαμπρός τύφλα να 'χη η πιθθιρός,1,1.0,6,10,6,5,9,7,8,19
Γεια σου γέρω! Κουτσιά σπέρνω,1,5.0,9,2,6,4,2,1,6,6
Καθένας έχει το δαιμόνιόν του,6,1.0,15,6,4,2,7,3,4,30
Των φρενίμων τα παλιά οι λωλοί τα κατελούν,1,1.0,16,9,6,2,3,1,2,8
Απ' όξω μπέλλα – μπέλλα κι από μέσα κατσιβέλλα,3,5.0,10,12,6,7,10,3,1,30
Καλύτερα προίκα σε κτήματα παρά σε φορέματα,2,2.0,2,10,1,1,2,1,2,2
Άρπαξέ με τζαί να σ' αρπάξω,1,3.0,9,50,6,4,10,1,3,6
"Μια φορά πηγαίνει το κολοκύθι για νερό δυό, την τρίτη τσακίζεται",6,1.0,8,16,6,2,10,1,2,40
Κατά τον άνθρωπο και τα ραβδιά,1,1.0,8,17,6,4,7,3,6,50
Μόνον εις τους πλουσίους και τους τιμίους δανείζουν!,1,1.0,2,9,1,1,6,1,4,31
"Άη μου Νικόλα, και σώσε με. Λέει, Και σάλεβγε κι΄εσύ τα χέρια σου",4,3.0,12,6,6,6,5,6,7,17
"-Θώριε στραβέ. Λέει -Θώριε, Θεέ",4,3.0,3,6,6,6,5,6,7,10
"Ο πετεινόν που κουγίζει παρώρας, κόφτει το κεφάλιν ατ",1,1.0,1,2,6,2,10,4,2,32
"Ποιός ζει, ποιός πεθαίνει",1,5.0,11,15,4,3,2,9,4,5
Κάνω ένανε κοιλό και λαγήνι,1,1.0,17,50,6,4,10,1,6,50
Μοναχός σου χόρευε κι όσο θέλεις πήδάγε,2,5.0,9,2,6,2,7,1,2,33
Άνθρωπος ακάλεστος στογ γάμοσ σαν τογ γάδαρον,5,5.0,6,10,6,5,4,3,1,19
"Ρίξ', ρίξ' γαμπρέ μ' πλατπούτσ'",2,3.0,6,10,6,5,4,7,8,34
Όποιος 'ς το κόσμο δε γλεντά και το κρασί δεν πίνει άθρωπος δε λογίζεται όσο χρονώ κι α γίνη,2,1.0,8,5,4,2,2,5,4,39
"Όποιος πειναει για να πλουτήση, μόν' η πείνα θα του μείνη",2,2.0,2,5,1,1,10,3,4,26
"Άντρα μου, η ξύξες σου τρέχουσι(ν), - Είνε γεναίκα, που το χειμώνα. - Σε ξέρω δα, άντρας μου και που το καλοκαίρι",1,5.0,4,10,6,4,2,7,8,35
Να καναν οι μύγες μέλι τρεις οκάδες στον παρά,1,3.0,1,11,6,1,6,4,1,16
Σαν θέλ' η νύφ' κι η γαμπρός μπομπή κ' τα συμπεθέρια,1,1.0,6,10,6,5,4,7,8,19
Όποιος έχει σειέται κι όπου δεν έχει ξυέται,1,5.0,9,5,6,2,2,3,4,5
Και όποιος θε να σε κρεμάση ποιός το λε' μη θαν ο ετός σου κι όποιος θε να σε γλυτώση ποιός το λε' μη θαν ο χθρός σου,2,2.0,16,17,6,2,10,9,1,11
Θέλωντας ο νοικοκύρης και μη θέλωντας ο ζωγράφος βάστα και συ Χριστέ κόκκινα ποδήματα,4,4.0,3,6,6,6,2,6,7,50
Αν μου πιάσης την μύτη σκάω,1,1.0,12,50,6,8,6,3,1,50
Ο κινάς κ' η Τρεμιντίνα κάνουν τη γριά καντίνα,1,5.0,17,50,6,9,4,1,2,50
Όταν αγιαστούν τα νερά ησυχάζ' ο καιρός,4,4.0,4,6,6,6,7,6,7,40
Ευκή ονιού αόραζε και μη βουδί αλοάρι,2,2.0,1,14,6,4,5,1,6,19
Πλέει τ' όνομα εις τον νου μου,1,1.0,15,15,5,4,10,3,8,47
Η καμήλα εγ κουτσανίσκει που ταφτίν,1,1.0,1,11,6,3,2,4,6,19
Αρχίντσεν τα παρδαλά,1,5.0,13,9,5,8,10,1,1,36
Απόξω κούκλα κι' από μέσα πανούκλα,3,5.0,10,12,2,7,7,3,1,15
Είχα το παιδί κι είχα τη χαρά κι έψηνα του πέντ' αυγά κι έτρωγα τα τέσσερα και το μισό κι απου το μισό τ' άλλο μισό πόσο 'τρωε το παιδίν;,1,-1.0,8,15,6,4,7,5,8,13
Εσηκώθηκ' η Νοθιά με τα παιδογγονά τζη,1,-1.0,6,14,6,4,7,7,6,50
"Βούρλα μού δώνεις, ψαθί σού πλέκω",1,1.0,8,9,6,8,1,3,8,37
"Ξερό ψωμί, καλή καρδιά, φέρνουν ζωή και νιάτα, όχι περόνια ολόχ' σα τσαί ασημένια πιάτα",2,1.0,8,5,1,9,3,5,2,7
"Τέτοιου τσιφάλ', τέτοια θέλ'",1,5.0,17,2,6,8,10,3,2,50
Τουν γιλάει ου καθρέφτ'ς,1,5.0,8,2,6,7,4,1,1,48
"Όπου ακούσης μέγα τρύγος, παίρνε μικρό καλάθι",2,2.0,8,17,3,2,10,3,2,38
"Σκυλλί γαυγίζει, καρ'βαν πιρνα",2,2.0,1,11,6,2,1,4,2,16
Τη δουλειά σου και το όργο σου ψηλά,2,2.0,5,8,6,1,7,2,2,12
"Όποιο δάχτυλο να κόψω, πονεί",1,1.0,12,14,6,3,2,3,2,41
"Τα γέλοια με τα κλάμματα, με τη χαρά κ' η πίκρα",1,1.0,7,5,6,2,10,3,4,45
Γερεύει να κρουφτεί πιστ' απ' το δάχτ'λά του,1,5.0,12,17,6,8,2,3,1,46
Τα λό(γ)ια των πολλώ κάνουν τον άθθρωπο λωλλόν,3,2.0,16,9,6,9,10,3,4,17
Πε ξένα κόλλ'βα φκιάν' μνημόσυνο,4,5.0,6,17,5,8,8,9,4,44
Αναθεμα ποιός δούλευε τρία καλά Σαββάτα της τυρινής Κρεατινής και των Αγίων Θοδώρων,4,4.0,3,6,6,6,7,2,7,17
Αχάριστον (τ) χάρη μη κάνεις,2,2.0,16,17,2,2,3,3,2,43
Στίβει την πέτρα και βγάνει ζουμί,1,1.0,8,8,2,8,10,3,1,37
Είναι Ζαρκοπαφίλλης,3,5.0,16,50,6,8,9,3,6,50
Γονιού ευχή αγόραζε και στο βουνό κατοίκα,2,2.0,6,14,6,2,3,7,1,42
"Σαράντα καλόγεροι, ο καθένας με τον πόνο τ'",4,1.0,7,2,5,6,10,6,1,17
Θέλει κι ο Μούτσιος καφέ!,1,5.0,8,50,6,8,1,5,1,4
Ξέρεις και συ που πάει του χωριού η αγγέλη,1,5.0,17,2,6,4,7,4,4,3
Επήα να κόψω τ' αυτιά και 'βαλα και κέρατα,1,5.0,12,18,6,3,10,1,5,38
Απού βράσει τζαί στεγνώσει εν έν τίποτε,1,1.0,17,18,6,4,7,1,4,42
